track_id,genre_id
3Et4LKZLnXygPYfNdeB3D3,acoustic
2E9viCx0hJKNKNThd2MdGQ,acoustic
0Zf1BPkkFAWGtVHeBwHHz4,acoustic
38jy6kRlPt8z1GUS9WXeNh,acoustic
2SkJKMfjpYsNv0KWOxiegX,acoustic
11TK5KLtLZUdKr1C549bAw,acoustic
7BXW1QCg56yzEBV8pW8pah,acoustic
2kMrCPZ0o5gErBPLCRgoli,acoustic
5IjTZ1g8KrIuV97N3OQZ0V,acoustic
3bHhUEOTIbezeZ856R0BX5,acoustic
0wf17wsLRwnnfh241GkeH5,acoustic
3322ArxAq7wCSZI4fF77Q0,acoustic
4LGF2tDg3878bs0mQPByZ4,acoustic
6Uy6K3KdmUdAfelUp0SeXn,acoustic
2z2JKNU24UEngb4joR9p8f,acoustic
2nef44o0sjJDKB1ta4S0ub,acoustic
0qJGlogD7AyMLAJfQ42aI2,acoustic
04JS6OitE9VGsIS3S94Osg,acoustic
5OGpsZeJRZ3t3MZioawcZW,acoustic
3Vnes7v746dYzBn0FJTZ1W,acoustic
30cYWLpVdBZVLb1cYdmcTT,acoustic
7sUqJ51FGSi3n7x4pYjY3v,acoustic
15BFn2VmEtonsXfNL1lUmy,acoustic
0WOFJR54wyTwLB11jcBDb1,acoustic
1uDCw6LVMOmbZ6zRliNcNX,acoustic
7DYsBLdOqz0z14tYWMt2Tn,acoustic
7cPuE0M35EajWPRO3nRcH8,acoustic
0U32q8CZRRo7xCzyiaZw5f,acoustic
4kQXMVjoZ9yMibLZq5Aqi5,acoustic
3us8sod4dLbM9FiMiPiEY8,acoustic
068qo0w1Ki0cjnFYOUhAm2,acoustic
2RFt6ZWQbr9mPhsft9u9eX,acoustic
59pUIlXjQupbiYwt40uUTi,acoustic
0VhZ5JYfqPojSYeGWnk4dL,acoustic
0ltIx8PLjtWoS9zn9PqsZW,acoustic
7ACW42whcdOiUxiNVu7ltx,acoustic
4VbDTk82rqWqVgoQC93CkC,acoustic
1pG5nd6gmfbMwUfT5shDQe,acoustic
2WZyfujzMweFLnozyUJBkW,acoustic
6gijbGNDNNJgT60Aj7UCyc,acoustic
08OjvLnGR3M0HUhcePeMNO,acoustic
65VhbQdqvozUntjnlFkFbZ,acoustic
05pKAafT85jeeNhZ6kq7HT,acoustic
3PG6V5yuFfo4APiovOQoRv,acoustic
5O9R57EozcpLKGQBzadPVy,acoustic
6ta5yavnnEfCE4faU0jebM,acoustic
7BRCa8MPiyuvr2VU3O9W0F,acoustic
5ZhaKUsY68U0lgREFWfoxg,acoustic
4zcMBfbQZvBSHQBGDd6gsN,acoustic
7bhHLZxkRekrNPPkEdDTbn,acoustic
5rwq6R0Uq0BngM3rdmCeNg,acoustic
2lxBZVbkiCXC1soks2RXwV,acoustic
38YgZVHPWOWsKrsCXz6JyP,acoustic
72R0X0h8YaxYNpegeoOl0M,acoustic
6R6ux6KaKrhAg2EIB2krdU,acoustic
2D9w6sabdMCLSheW5aegwO,acoustic
1Qo3taHLFSQpzLm5Sty7M4,acoustic
71M4QMn8nrok1KFVXwEEyU,acoustic
4lxGVzcUaSF5HW5jtWnShV,acoustic
2PIlBukQ6limukVR8Ubb5o,acoustic
